topic,word,weight
0,数字,0.022591753
0,企业,0.018453864
0,支持,0.012522302
0,贸易,0.010238978
0,创新,0.010049414
0,电商,0.008393038
0,产业,0.007574234
0,国际,0.0075284215
0,改革,0.006912791
0,经济,0.0068165585
0,交易,0.006445301
0,平台,0.006441196
0,标准,0.006314723
0,制度,0.005730477
0,产品,0.005677226
1,个人信息,0.04571983
1,保护,0.022549039
1,认证,0.01352371
1,评估,0.013367114
1,数据安全,0.011828651
1,合规,0.009408164
1,技术,0.006975381
1,公共数据,0.0069257873
1,风险,0.005922453
1,制定,0.005918756
1,审计,0.0057693333
1,交易,0.0055554095
1,制度,0.005347435
1,规范,0.005117863
1,标准合同,0.0046846787
2,数字,0.02863608
2,平台,0.01629559
2,智慧,0.013411688
2,政务,0.012364775
2,数字化,0.011949674
2,资源,0.010539308
2,企业,0.009343372
2,治理,0.007725241
2,政府,0.0076501593
2,智能,0.0070908545
2,能力,0.007060651
2,经济,0.0068705087
2,产业,0.0067637577
2,技术,0.0066009057
2,创新,0.006332686
3,企业,0.011911742
3,创新,0.008404138
3,国际,0.00753728
3,环境,0.006480319
3,改革,0.0064141774
3,优化,0.0061063827
3,打造,0.005425212
3,制度,0.0054136096
3,产业,0.0054064724
3,经济,0.0051369723
3,监管,0.0049059456
3,政府,0.004616663
3,营商,0.004432296
3,项目,0.0044089053
3,重点,0.00440454
4,改革,0.0097457105
4,创新,0.008116298
4,支持,0.008045609
4,制度,0.007185495
4,健全,0.00696933
4,项目,0.006374043
4,经济,0.0060792896
4,深化,0.006053363
4,科技,0.0056780805
4,持续,0.0053474815
4,产业,0.0051469062
4,企业,0.0050424594
4,社会,0.004784549
4,重点,0.004646823
4,强化,0.004445417
5,互联网,0.022252563
5,企业,0.015453806
5,网络,0.010782996
5,技术,0.009494666
5,平台,0.009002288
5,创新,0.008152314
5,信用,0.0077482113
5,行业,0.007527688
5,联网,0.0068982933
5,工业,0.006654007
5,能力,0.006466624
5,支持,0.0059374073
5,产业,0.0053383345
5,产品,0.005230398
5,监管,0.004982221
6,金融,0.008207506
6,保障,0.007920703
6,企业,0.007086459
6,司法,0.0069916407
6,北京,0.0062325927
6,经济,0.0061989976
6,国际,0.0059180977
6,检察,0.005748886
6,数字,0.005732323
6,负面清单,0.005558772
6,规范,0.0054484583
6,场景,0.005420884
6,保护,0.0052802074
6,案件,0.004673335
6,个人信息,0.0045869425
7,贸易,0.026264798
7,企业,0.016310021
7,国际,0.016065309
7,创新,0.015560768
7,支持,0.0127148
7,数字,0.009256057
7,合作,0.008534565
7,平台,0.0076181237
7,产业,0.006414429
7,打造,0.0060833637
7,试点,0.005655387
7,技术,0.00545422
7,市场,0.005434591
7,物流,0.0051161023
7,重点,0.005028927
8,创新,0.013412341
8,国际,0.013327254
8,产业,0.013185989
8,企业,0.010572762
8,支持,0.008942779
8,打造,0.007320171
8,开放,0.0069202497
8,区域,0.0066780574
8,试验区,0.006491615
8,重点,0.0063229976
8,综合,0.005917989
8,服务业,0.00559089
8,经济,0.005357439
8,合作,0.0051845238
8,平台,0.0051312684
9,数字,0.018383848
9,产业,0.016991636
9,经济,0.0127962455
9,创新,0.010543947
9,企业,0.010196739
9,打造,0.008302912
9,平台,0.008107286
9,重点,0.007538621
9,技术,0.007070371
9,智能,0.00665356
9,数字化,0.0065208036
9,智慧,0.005662579
9,融合,0.0052788653
9,制造,0.0049508493
9,培育,0.0047997823
10,产业,0.021707367
10,企业,0.020681655
10,汽车,0.015484075
10,技术,0.015394363
10,创新,0.014476277
10,智能网,0.010424471
10,人工智能,0.010139301
10,产品,0.010043596
10,支持,0.009804412
10,平台,0.008839554
10,智能,0.008567323
10,研发,0.008038899
10,标准,0.0070730527
10,软件,0.00624027
10,国际,0.005914618
11,支持,0.019075444
11,企业,0.016694376
11,金融,0.012846293
11,试验区,0.0123624755
11,创新,0.0118930545
11,合作,0.01057127
11,外商投资,0.010310048
11,自贸,0.009385689
11,投资,0.009221391
11,自由贸易,0.006882922
11,国际,0.0062213144
11,试点,0.0060051735
11,研发,0.0059008724
11,责任,0.00583837
11,基金,0.0050347624
12,平台,0.0097407345
12,创新,0.0078396145
12,网络,0.0074438388
12,能力,0.0072255214
12,企业,0.006693987
12,课题,0.006534955
12,交通运输,0.0063565583
12,项目,0.0058240807
12,金融,0.0055247024
12,标准,0.005476585
12,申报,0.0054048733
12,经营,0.005266418
12,出租汽车,0.0050740913
12,科技,0.005059932
12,预约,0.0047902474
