stage,doc_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
2012,1,0.003314912,0.003920839,0.008314231,0.0035701008,0.0020247314,0.004234312,0.003008857,0.4557779,0.5057427,0.0031605319,0.0030054224,0.003925386
2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,0.0064246994,0.005521998,0.12556751,0.004924761,0.0031519448,0.007572483,0.030274559,0.008273487,0.78800815,0.0077682226,0.0074885883,0.0050235903
2016,5,0.015123114,0.012627676,0.021294687,0.22005355,0.02658079,0.011401041,0.01737098,0.0457178,0.5883314,0.022107344,0.008802867,0.0105887335
2017,1,0.07927771,0.108020864,0.041382983,0.04320233,0.35160866,0.05016934,0.081909195,0.049929637,0.04489544,0.046722308,0.062195502,0.040686037
2018,2,0.026847217,0.020443626,0.03340339,0.050907716,0.09079775,0.01420168,0.025133774,0.13377616,0.023574764,0.5522001,0.013591516,0.015122276
2019,4,0.025771793,0.033908267,0.031421416,0.30975717,0.032038428,0.018700765,0.18758796,0.026023634,0.032875367,0.027231043,0.2553969,0.019287322
2020,6,0.015313716,0.062184084,0.0100218505,0.036370028,0.033886753,0.010281978,0.1899275,0.009493806,0.10088942,0.017410906,0.48392144,0.030298503
2021,17,0.07622684,0.08161686,0.084065735,0.11942633,0.04029517,0.013531914,0.15623488,0.038201503,0.054270748,0.025814224,0.21993443,0.090381354
2022,20,0.11532573,0.09622541,0.057105877,0.30557406,0.11840725,0.023736546,0.08431913,0.03091703,0.04172533,0.032595627,0.06409031,0.029977685
2023,20,0.056979638,0.035054028,0.031852633,0.26524004,0.15534437,0.038990755,0.19495758,0.022215774,0.044491075,0.02788866,0.08989759,0.037087876
2024,26,0.09673532,0.056541786,0.04767929,0.21232739,0.12310416,0.039273717,0.08028047,0.0213174,0.05398699,0.04565596,0.11882571,0.1042718
2025,31,0.081284694,0.035079636,0.0408855,0.19877692,0.12464508,0.030050473,0.17257798,0.03309272,0.043438874,0.03243617,0.123783246,0.083948724
2026,3,0.034819845,0.03237067,0.11175552,0.13302875,0.19922908,0.018710097,0.030245645,0.030703992,0.2635645,0.032338027,0.09424644,0.018987441
